"id","variable","before_date","before_time","before_value","after_date","after_time","after_value","missing_date","imputed_time_str","imputed_value","imputation_method"
"AS14.01","appCat.travel",2014-04-26,"2014-04-26 10:50:33",65.344,2014-04-29,"2014-04-29 11:26:45",34.954,2014-04-28,"2014-04-28 16:28:34",46.9421,"weighted_knn_incl_day1"
"AS14.01","appCat.travel",2014-04-30,"2014-04-30 13:32:17",84.777,2014-05-03,"2014-05-03 20:10:27",143.631,2014-05-01,"2014-05-01 14:32:21",10.407,"weighted_knn_time_weighted"
"AS14.01","appCat.travel",2014-04-30,"2014-04-30 13:32:17",84.777,2014-05-03,"2014-05-03 20:10:27",143.631,2014-05-02,"2014-05-02 14:32:24",9.3738,"weighted_knn_incl_day1"
"AS14.01","appCat.utilities",2014-04-12,"2014-04-12 10:17:28",19.081,2014-04-14,"2014-04-14 07:50:38",14.113,2014-04-13,"2014-04-13 22:53:31",6.4005,"weighted_knn_time_weighted"
"AS14.01","appCat.utilities",2014-05-03,"2014-05-03 10:05:30",76.319,2014-05-05,"2014-05-05 00:15:26",164.567,2014-05-04,"2014-05-04 12:31:23",16.8784,"weighted_knn_time_weighted"
"AS14.02","activity",2014-04-17,"2014-04-17 20:00:00",0.555555555555556,2014-04-19,"2014-04-19 07:00:00",0.5,2014-04-18,"2014-04-18 20:00:00",0.4389,"weighted_knn_time_weighted"
"AS14.02","activity",2014-04-19,"2014-04-19 07:00:00",0.5,2014-04-22,"2014-04-22 17:00:00",0.15,2014-04-20,"2014-04-20 12:00:00",0.4877,"weighted_knn_time_weighted"
"AS14.02","activity",2014-04-19,"2014-04-19 07:00:00",0.5,2014-04-22,"2014-04-22 17:00:00",0.15,2014-04-21,"2014-04-21 12:00:00",0.4788,"weighted_knn_incl_day1"
"AS14.02","appCat.builtin",2014-04-17,"2014-04-17 20:57:46",2.007,2014-04-19,"2014-04-19 07:19:00",10.09,2014-04-18,"2014-04-18 19:50:47",7.9411,"weighted_knn_time_weighted"
"AS14.02","appCat.communication",2014-04-15,"2014-04-15 07:40:35",4.432,2014-04-17,"2014-04-17 20:57:49",10.993,2014-04-16,"2014-04-16 19:04:42",9.8646,"weighted_knn_time_weighted"
"AS14.02","appCat.communication",2014-04-17,"2014-04-17 20:57:49",10.993,2014-04-19,"2014-04-19 07:18:52",7.602,2014-04-18,"2014-04-18 21:22:33",12.7029,"weighted_knn_time_weighted"
"AS14.02","appCat.entertainment",2014-04-11,"2014-04-11 01:04:49",10.844,2014-04-13,"2014-04-13 08:19:37",262.458,2014-04-12,"2014-04-12 09:24:29",7.5642,"weighted_knn_time_weighted"
"AS14.02","appCat.other",2014-03-14,"2014-03-14 09:43:22",55.026,2014-03-16,"2014-03-16 13:35:48",30.172,2014-03-15,"2014-03-15 09:51:25",11.4373,"weighted_knn_time_weighted"
"AS14.02","appCat.social",2014-03-14,"2014-03-14 17:29:46",6.458,2014-03-16,"2014-03-16 09:12:26",15.75,2014-03-15,"2014-03-15 17:35:31",7.2588,"weighted_knn_time_weighted"
"AS14.02","appCat.travel",2014-03-19,"2014-03-19 18:46:29",96.495,2014-03-21,"2014-03-21 15:49:54",35.288,2014-03-20,"2014-03-20 22:23:21",6.3361,"weighted_knn_time_weighted"
"AS14.02","appCat.travel",2014-03-29,"2014-03-29 09:19:53",64.037,2014-04-01,"2014-04-01 19:57:15",52.7,2014-03-30,"2014-03-30 14:32:37",5.3853,"weighted_knn_time_weighted"
"AS14.02","appCat.travel",2014-03-29,"2014-03-29 09:19:53",64.037,2014-04-01,"2014-04-01 19:57:15",52.7,2014-03-31,"2014-03-31 14:36:36",5.2748,"weighted_knn_incl_day1"
"AS14.02","appCat.travel",2014-04-01,"2014-04-01 19:57:15",52.7,2014-04-03,"2014-04-03 17:20:24",66.015,2014-04-02,"2014-04-02 20:34:25",96.7828,"weighted_knn_time_weighted"
"AS14.02","appCat.travel",2014-04-03,"2014-04-03 17:20:24",66.015,2014-04-05,"2014-04-05 15:43:49",1.422,2014-04-04,"2014-04-04 21:09:21",19.3483,"weighted_knn_time_weighted"
"AS14.02","appCat.utilities",2014-04-10,"2014-04-10 17:29:18",1.017,2014-04-12,"2014-04-12 19:09:37",1.063,2014-04-11,"2014-04-11 17:29:18",1.0325,"weighted_knn_time_weighted"
"AS14.02","appCat.utilities",2014-04-12,"2014-04-12 19:09:37",1.063,2014-04-14,"2014-04-14 16:10:26",1.006,2014-04-13,"2014-04-13 19:10:37",3.3864,"weighted_knn_time_weighted"
"AS14.02","screen",2014-04-17,"2014-04-17 20:57:46",14.3989999294281,2014-04-19,"2014-04-19 07:18:52",155.77999997139,2014-04-18,"2014-04-18 21:22:32",13.8856,"weighted_knn_time_weighted"
"AS14.02","screen",2014-04-19,"2014-04-19 07:18:52",155.77999997139,2014-04-22,"2014-04-22 17:53:30",10.1019999980927,2014-04-20,"2014-04-20 09:18:41",83.5905,"weighted_knn_time_weighted"
